,Numero_finess,stjr,Points_ISA,Personnel médical,Internes,Personnels de direction et administratifs,Personnels techniques et ouvriers,Autre sans internes,Autre sans direction et administratif,Autre sans techniques et ouvriers
989,830100103,2,114975.9866666667,50.83,0.0,39.84,18.01,,,
990,830100251,2,93442.17166666668,35.120000000000005,0.0,21.87,3.51,32.74,10.870000000000001,29.23
991,830100319,2,219854.7750000001,52.59,0.0,35.78,6.57,,,
992,830100327,2,65315.64499999998,29.0,0.0,12.6,3.5,,,
993,830100368,2,80663.505,23.96,0.0,10.21,2.56,,,
994,830100392,2,112358.83666666664,42.3,0.0,27.64,9.59,43.519999999999996,15.879999999999999,33.93
995,830100418,2,41573.64000000001,23.55,0.0,7.48,5.0,,,
996,830100434,2,189760.92666666672,68.27,0.0,63.36,24.08,,,
997,830100459,2,74659.39,55.93,0.0,26.77,3.91,,,
998,830100475,2,61153.71000000001,38.61,0.0,10.55,6.1,,,
999,830100517,1,262519.7099999999,46.395,19.14,36.18,24.709999999999997,90.14,73.1,84.57000000000001
1000,830100525,1,410540.1633333332,128.23999999999998,21.88,73.095,110.48,237.26999999999998,186.055,148.67
1001,830100533,1,406261.995,60.14999999999999,46.410000000000004,32.14333333333334,27.326666666666664,77.46000000000001,91.72666666666666,96.54333333333335
1002,830100566,1,622570.3233333331,133.68,55.28,99.305,56.135,204.245,160.22,203.39000000000001
1003,830100574,1,783672.6333333331,126.41,214.26,209.37,88.0,433.63,438.52,559.89
1004,830100590,1,70387.66333333332,23.62,9.57,34.57,16.59,60.870000000000005,35.87,53.85
1005,830100616,1,1276730.6783333349,202.67000000000002,97.29500000000002,148.8766666666667,120.68666666666667,359.0733333333334,307.4916666666667,335.68166666666673
1006,830100855,2,35417.009999999995,11.93,0.0,19.71,8.66,31.740000000000002,12.030000000000001,23.080000000000002
1007,830200523,3,128952.96000000004,31.17,0.0,27.35,2.97,,,
1008,840000012,1,43166.80333333333,19.37,2.46,15.27,36.75,59.705,46.895,25.415
1009,840000046,1,158390.72,37.22,15.629999999999999,62.25,58.72,132.09,85.47,89.0
